,微博id,评论页码,评论id,评论时间,评论者赞数,评论者IP归属地,评论者姓名,评论者id,评论者性别,评论者关注数,评论者粉丝数,评论内容,comment_processed,cluster
0,4950000000000000.0,1,4950000000000000.0,2023/9/16 11:15,25168,来自江苏,不出门干嘛要洗脸,3664115191,男,348,43,赶紧把这种人拉进高铁黑名单！本来抢票就够难的了,赶紧把这种人拉进高铁黑名单本来抢票就够难的了,5
1,4950000000000000.0,1,4950000000000000.0,2023/9/16 11:24,13383,来自江苏,帝国刘怼王脾气很大,6031632902,男,165,42,太嚣张了吧 这种人就该好好治治,太嚣张了吧 这种人就该好好治治,1
2,4950000000000000.0,1,4950000000000000.0,2023/9/16 11:26,8244,来自江苏,白开水就行OK,1970831477,女,333,51,无语了 就是仗着人多势众,无语了 就是仗着人多势众,2
3,4950000000000000.0,1,4950000000000000.0,2023/9/16 13:14,18637,来自江西,我还叫波猪的海,3055820073,女,385,250,这。。。高铁上的工作人员哪去了，十分钟。。。这不比高铁上化妆严重？,这高铁上的工作人员哪去了十分钟这不比高铁上化妆严重,1
4,4950000000000000.0,1,4950000000000000.0,2023/9/16 13:15,7987,来自广东,你好叻啊十仔,3905312283,女,480,3800,三个人及以上可以定性为黑社会团伙性质了吧,三个人及以上可以定性为黑社会团伙性质了吧,1
5,4950000000000000.0,1,4950000000000000.0,2023/9/16 13:31,7127,来自陕西,源氏奶油蘑菇汤,5099049044,女,924,757,实名制这么久了，做个黑名单很难么？,实名制这么久了做个黑名单很难么,3
6,4950000000000000.0,1,4950000000000000.0,2023/9/16 13:08,4690,来自广东,菠萝他杀,5022071798,女,128,177,乘务员呢乘警呢看着好疼,乘务员呢乘警呢看着好疼,0
7,4950000000000000.0,1,4950000000000000.0,2023/9/16 13:00,4263,来自陕西,得到了想得到的,6119148856,女,69,9,不对不对，化妆比占座打人危害大,不对不对化妆比占座打人危害大,4
8,4950000000000000.0,1,4950000000000000.0,2023/9/16 13:48,2853,来自河北,萨达哈鲁喵喵喵,7724145858,女,345,1065,十分钟这么久？乘警呢？抓化妆的去了?,十分钟这么久乘警呢抓化妆的去了?,3
9,4950000000000000.0,1,4950000000000000.0,2023/9/16 14:01,1312,来自河北,梦魇之启,7796036376,女,1611,2140,我们马上给你讨论卫生巾和化妆品的危害,我们马上给你讨论卫生巾和化妆品的危害,5
10,4950000000000000.0,1,4950000000000000.0,2023/9/16 13:30,1335,来自陕西,游戏投投机,6468421833,女,9865,332.3万,这时候就需要高铁判官这样的勇士了,这时候就需要高铁判官这样的勇士了,4
11,4950000000000000.0,1,4950000000000000.0,2023/9/16 13:27,767,来自四川,桃酱果子,1289129947,女,1023,354,终生禁止搭乘高铁动车不就解决了这些恶霸,终生禁止搭乘高铁动车不就解决了这些恶霸,0
12,4950000000000000.0,1,4950000000000000.0,2023/9/16 12:59,713,来自北京,锦鲤六宝,5375248381,男,0,64.8万,高铁判官在哪呢,高铁判官在哪呢,2
13,4950000000000000.0,1,4950000000000000.0,2023/9/16 14:03,604,来自新加坡,顾盼四游,5026255629,女,531,115,乘警这个时候上哪去了？化妆时候出现挺快，毕竟软柿子好拿捏,乘警这个时候上哪去了化妆时候出现挺快毕竟软柿子好拿捏,1
14,4950000000000000.0,1,4950000000000000.0,2023/9/16 12:59,445,来自北京,锦鲤六宝,5375248381,男,0,64.8万,这是高铁，仗着人多就为所欲为吗？罚款拘留跑不掉了,这是高铁仗着人多就为所欲为吗罚款拘留跑不掉了,4
15,4950000000000000.0,1,4950000000000000.0,2023/9/16 14:01,435,来自广东,诗酒月华欢,1189343980,女,357,34,这种都不算事的，还是让我们继续讨论高铁卫生巾和高铁化妆，这两个的危害性可比高铁打人大多了,这种都不算事的还是让我们继续讨论高铁卫生巾和高铁化妆这两个的危害性可比高铁打人大多了,0
